Starting server
{"level":30,"time":1636116701755,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-9","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116701764,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-9","res":{"statusCode":200},"responseTime":8.095423936843872,"msg":"request completed"}
{"level":30,"time":1636116704368,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-a","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116704369,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-a","res":{"statusCode":204},"responseTime":0.7742259502410889,"msg":"request completed"}
{"level":30,"time":1636116704372,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-b","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116704378,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-b","res":{"statusCode":200},"responseTime":6.704011917114258,"msg":"request completed"}
{"level":30,"time":1636116705370,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-c","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116705374,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-c","res":{"statusCode":200},"responseTime":4.199050188064575,"msg":"request completed"}
{"level":30,"time":1636116706376,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-d","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116706380,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-d","res":{"statusCode":200},"responseTime":4.390346050262451,"msg":"request completed"}
{"level":30,"time":1636116707373,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-e","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116707378,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-e","res":{"statusCode":200},"responseTime":5.270586967468262,"msg":"request completed"}
{"level":30,"time":1636116708368,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-f","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116708372,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-f","res":{"statusCode":200},"responseTime":4.462127923965454,"msg":"request completed"}
{"level":30,"time":1636116709374,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-g","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116709374,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-g","res":{"statusCode":204},"responseTime":0.5563750267028809,"msg":"request completed"}
{"level":30,"time":1636116709376,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-h","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116709380,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-h","res":{"statusCode":200},"responseTime":4.147903203964233,"msg":"request completed"}
{"level":30,"time":1636116710369,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-i","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116710373,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-i","res":{"statusCode":200},"responseTime":4.038480997085571,"msg":"request completed"}
{"level":30,"time":1636116711372,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-j","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116711377,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-j","res":{"statusCode":200},"responseTime":4.4237940311431885,"msg":"request completed"}
{"level":30,"time":1636116711862,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-k","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116711866,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-k","res":{"statusCode":200},"responseTime":4.581759214401245,"msg":"request completed"}
{"level":30,"time":1636116712871,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-l","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116712876,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-l","res":{"statusCode":200},"responseTime":5.230203866958618,"msg":"request completed"}
{"level":30,"time":1636116713194,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-m","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116713199,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-m","res":{"statusCode":200},"responseTime":4.7295520305633545,"msg":"request completed"}
{"level":30,"time":1636116714208,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-n","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116714213,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-n","res":{"statusCode":200},"responseTime":4.702785015106201,"msg":"request completed"}
{"level":30,"time":1636116715208,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-o","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116715208,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-o","res":{"statusCode":204},"responseTime":0.5840611457824707,"msg":"request completed"}
{"level":30,"time":1636116715210,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-p","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116715215,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-p","res":{"statusCode":200},"responseTime":5.557987213134766,"msg":"request completed"}
{"level":30,"time":1636116716209,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-q","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116716214,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-q","res":{"statusCode":200},"responseTime":4.463336944580078,"msg":"request completed"}
{"level":30,"time":1636116717205,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-r","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116717210,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-r","res":{"statusCode":200},"responseTime":4.238489866256714,"msg":"request completed"}
{"level":30,"time":1636116718205,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-s","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116718210,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-s","res":{"statusCode":200},"responseTime":5.462532997131348,"msg":"request completed"}
{"level":30,"time":1636116719202,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-t","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116719207,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-t","res":{"statusCode":200},"responseTime":4.70033597946167,"msg":"request completed"}
{"level":30,"time":1636116720208,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-u","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116720213,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-u","res":{"statusCode":200},"responseTime":4.09935998916626,"msg":"request completed"}
{"level":30,"time":1636116721200,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-v","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116721201,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-v","res":{"statusCode":204},"responseTime":0.44183993339538574,"msg":"request completed"}
{"level":30,"time":1636116721202,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-w","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116721205,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-w","res":{"statusCode":200},"responseTime":2.958569049835205,"msg":"request completed"}
{"level":30,"time":1636116721997,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-x","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116722001,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-x","res":{"statusCode":200},"responseTime":4.093822956085205,"msg":"request completed"}
{"level":30,"time":1636116723007,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-y","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116723012,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-y","res":{"statusCode":200},"responseTime":4.581800937652588,"msg":"request completed"}
{"level":30,"time":1636116724009,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-z","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116724013,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-z","res":{"statusCode":200},"responseTime":4.161426067352295,"msg":"request completed"}
{"level":30,"time":1636116724018,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-10","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116724022,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-10","res":{"statusCode":200},"responseTime":3.7955310344696045,"msg":"request completed"}
{"level":30,"time":1636116725028,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-11","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116725034,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-11","res":{"statusCode":200},"responseTime":5.775180101394653,"msg":"request completed"}
{"level":30,"time":1636116725374,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-12","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116725377,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-12","res":{"statusCode":200},"responseTime":3.139340877532959,"msg":"request completed"}
{"level":30,"time":1636116726377,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-13","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116726378,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-13","res":{"statusCode":204},"responseTime":0.42389702796936035,"msg":"request completed"}
{"level":30,"time":1636116726379,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-14","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116726383,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-14","res":{"statusCode":200},"responseTime":3.5274159908294678,"msg":"request completed"}
{"level":30,"time":1636116727378,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-15","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116727382,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-15","res":{"statusCode":200},"responseTime":4.388821840286255,"msg":"request completed"}
{"level":30,"time":1636116728384,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-16","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116728389,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-16","res":{"statusCode":200},"responseTime":4.854749917984009,"msg":"request completed"}
{"level":30,"time":1636116729380,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-17","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116729384,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-17","res":{"statusCode":200},"responseTime":3.488708972930908,"msg":"request completed"}
{"level":30,"time":1636116730382,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-18","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116730386,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-18","res":{"statusCode":200},"responseTime":4.7112860679626465,"msg":"request completed"}
{"level":30,"time":1636116731379,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-19","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116731383,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-19","res":{"statusCode":200},"responseTime":3.8586950302124023,"msg":"request completed"}
{"level":30,"time":1636116732388,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1a","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116732388,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1a","res":{"statusCode":204},"responseTime":0.4318227767944336,"msg":"request completed"}
{"level":30,"time":1636116732390,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1b","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116732394,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1b","res":{"statusCode":200},"responseTime":3.159090042114258,"msg":"request completed"}
{"level":30,"time":1636116733386,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1c","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116733389,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1c","res":{"statusCode":200},"responseTime":3.3180558681488037,"msg":"request completed"}
{"level":30,"time":1636116734384,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1d","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116734388,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1d","res":{"statusCode":200},"responseTime":3.9232871532440186,"msg":"request completed"}
{"level":30,"time":1636116735382,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1e","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116735386,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1e","res":{"statusCode":200},"responseTime":3.38989520072937,"msg":"request completed"}
{"level":30,"time":1636116736383,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1f","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116736387,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1f","res":{"statusCode":200},"responseTime":3.9111320972442627,"msg":"request completed"}
{"level":30,"time":1636116737382,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1g","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116737388,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1g","res":{"statusCode":200},"responseTime":6.026031970977783,"msg":"request completed"}
{"level":30,"time":1636116738394,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1h","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116738395,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1h","res":{"statusCode":204},"responseTime":0.4451611042022705,"msg":"request completed"}
{"level":30,"time":1636116738396,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1i","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116738399,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1i","res":{"statusCode":200},"responseTime":3.166226863861084,"msg":"request completed"}
{"level":30,"time":1636116739381,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1j","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116739406,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1j","res":{"statusCode":200},"responseTime":5.996795177459717,"msg":"request completed"}
{"level":30,"time":1636116740384,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1k","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116740388,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1k","res":{"statusCode":200},"responseTime":4.35536003112793,"msg":"request completed"}
{"level":30,"time":1636116741380,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1l","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116741384,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1l","res":{"statusCode":200},"responseTime":3.8583710193634033,"msg":"request completed"}
{"level":30,"time":1636116742055,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1m","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65435},"msg":"incoming request"}
{"level":30,"time":1636116742386,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1n","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65464},"msg":"incoming request"}
{"level":30,"time":1636116742390,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1n","res":{"statusCode":200},"responseTime":3.9917941093444824,"msg":"request completed"}
{"level":30,"time":1636116743385,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1o","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65464},"msg":"incoming request"}
{"level":30,"time":1636116743391,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1o","res":{"statusCode":200},"responseTime":5.566688060760498,"msg":"request completed"}
{"level":30,"time":1636116744383,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1p","req":{"method":"OPTIONS","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65464},"msg":"incoming request"}
{"level":30,"time":1636116744384,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1p","res":{"statusCode":204},"responseTime":0.4662790298461914,"msg":"request completed"}
{"level":30,"time":1636116744385,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1q","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65464},"msg":"incoming request"}
{"level":30,"time":1636116744389,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1q","res":{"statusCode":200},"responseTime":3.053421974182129,"msg":"request completed"}
{"level":30,"time":1636116745383,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1r","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65464},"msg":"incoming request"}
{"level":30,"time":1636116745387,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1r","res":{"statusCode":200},"responseTime":3.3186450004577637,"msg":"request completed"}
{"level":30,"time":1636116746379,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1s","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65464},"msg":"incoming request"}
{"level":30,"time":1636116746384,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1s","res":{"statusCode":200},"responseTime":3.350739002227783,"msg":"request completed"}
{"level":30,"time":1636116747382,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1t","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65464},"msg":"incoming request"}
{"level":30,"time":1636116747386,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1t","res":{"statusCode":200},"responseTime":3.9305031299591064,"msg":"request completed"}
{"level":30,"time":1636116748384,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1u","req":{"method":"POST","url":"/graphql","hostname":"localhost:9999","remoteAddress":"127.0.0.1","remotePort":65464},"msg":"incoming request"}
{"level":30,"time":1636116748388,"pid":29507,"hostname":"D11-Dheeraj.varshney","reqId":"req-1u","res":{"statusCode":200},"responseTime":3.83962082862854,"msg":"request completed"}
